frequency,id,observation_end,observation_start,seasonal_adjustment,title,units,county_id
Annual,2020RATIO001001,2018-01-01,2010-01-01,Not Seasonally Adjusted,Income Inequality,Ratio,27336
Monthly,ACTLISCOU1001,2020-03-01,2016-07-01,Not Seasonally Adjusted,Housing Inventory: Active Listing Count,Level,27336
Monthly,ACTLISCOUMM1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Active Listing Count Month-Over-Month,Percent,27336
Monthly,ACTLISCOUYY1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Active Listing Count Year-Over-Year,Percent,27336
Monthly,ALAUTA1LFN,2020-02-01,1990-01-01,Not Seasonally Adjusted,Civilian Labor Force,Persons,27336
Annual,ALAUTA1POP,2019-01-01,1970-01-01,Not Seasonally Adjusted,Resident Population,Thousands of Persons,27336
Monthly,ALAUTA1URN,2020-02-01,1990-01-01,Not Seasonally Adjusted,Unemployment Rate,Percent,27336
Annual,ATNHPIUS01001A,2018-01-01,1986-01-01,Not Seasonally Adjusted,"All-Transactions House Price Index for Autauga County, A",Index 2000=100,27336
Monthly,AVELISPRI1001,2020-03-01,2016-07-01,Not Seasonally Adjusted,Housing Inventory: Average Listing Price,U.S. Dollars,27336
Monthly,AVELISPRIMM1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Average Listing Price Month-Over-Month,Percent,27336
Monthly,AVELISPRIYY1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Average Listing Price Year-Over-Year,Percent,27336
Annual,B01002001E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Estimate, Median Age by Sex, Total Population (5-year estimate)",Years of Age,27336
Annual,B03002001E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total (5-year estimate)",Persons,27336
Annual,B03002002E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino (5-year estimate)",Persons,27336
